Gender,Age,Hours,mph,finish_all
F,29,4.9503,5.2964,1450
F,44,4.9533,5.2932,1451
F,30,4.9553,5.2911,1454
F,38,4.9642,5.2816,1457
F,46,4.9664,5.2792,1458
F,25,4.9669,5.2786,1460
F,45,4.9689,5.2766,1461
F,57,4.9692,5.2763,1462
F,57,4.97,5.2754,1463
F,41,4.9769,5.268,1467
F,40,4.9775,5.2675,1468
F,35,4.9775,5.2675,1469
F,43,4.9778,5.2672,1470
F,35,4.9806,5.2642,1471
F,35,4.9819,5.2628,1474
F,24,4.9833,5.2613,1475
F,47,4.9836,5.261,1476
F,47,4.9867,5.2578,1481
F,28,4.9881,5.2563,1482
F,29,4.9942,5.2499,1488
F,34,4.9944,5.2496,1489
F,33,5.0003,5.2435,1494
F,28,5.0022,5.2414,1495
F,33,5.0025,5.2411,1496
F,45,5.0033,5.2403,1497
F,59,5.0044,5.2391,1498
F,52,5.0047,5.2388,1499
F,54,5.0075,5.2359,1501
F,38,5.0078,5.2356,1502
F,25,5.0117,5.2315,1503
F,30,5.0211,5.2217,1506
F,37,5.0244,5.2182,1507
F,47,5.025,5.2177,1508
F,30,5.0258,5.2168,1510
F,31,5.0258,5.2168,1511
F,47,5.0261,5.2165,1512
F,48,5.0369,5.2053,1515
F,37,5.0411,5.201,1517
F,61,5.0433,5.1987,1520
F,58,5.0542,5.1876,1522
F,34,5.0556,5.1861,1523
F,36,5.0561,5.1856,1524
F,48,5.0575,5.1841,1525
F,31,5.0578,5.1838,1526
F,44,5.0583,5.1833,1528
F,38,5.0636,5.1779,1529
F,31,5.0647,5.1767,1530
F,52,5.065,5.1765,1531
F,36,5.0664,5.175,1532
F,28,5.0697,5.1716,1533
F,31,5.0767,5.1646,1538
F,33,5.0825,5.1586,1539
F,23,5.0836,5.1575,1540
F,40,5.0928,5.1482,1543
F,48,5.0953,5.1457,1544
F,57,5.0972,5.1437,1545
F,45,5.1078,5.1331,1546
F,39,5.1106,5.1303,1548
F,42,5.1169,5.1239,1550
F,38,5.1244,5.1164,1552
F,54,5.1375,5.1034,1556
F,53,5.1444,5.0965,1558
F,29,5.1483,5.0927,1561
F,40,5.1542,5.0869,1562
F,30,5.1581,5.0831,1564
F,36,5.1736,5.0678,1567
F,58,5.1753,5.0662,1568
F,61,5.1781,5.0634,1569
F,25,5.1786,5.0629,1571
F,34,5.1811,5.0604,1572
F,45,5.1811,5.0604,1573
F,46,5.1811,5.0604,1574
F,26,5.1822,5.0594,1575
F,31,5.1931,5.0488,1578
F,31,5.1944,5.0475,1579
F,37,5.1975,5.0445,1580
F,30,5.2025,5.0396,1581
F,32,5.2053,5.037,1582
F,47,5.2078,5.0345,1583
F,25,5.2119,5.0305,1584
F,46,5.2161,5.0265,1587
F,29,5.2211,5.0217,1590
F,23,5.2247,5.0182,1591
F,23,5.225,5.0179,1592
F,26,5.2264,5.0166,1593
F,33,5.2325,5.0108,1595
F,59,5.2381,5.0054,1599
F,37,5.2403,5.0033,1600
F,40,5.2411,5.0025,1601
F,23,5.2414,5.0023,1602
F,36,5.245,4.9988,1603
F,31,5.2522,4.9919,1606
F,56,5.2544,4.9898,1607
F,64,5.2544,4.9898,1608
F,52,5.2564,4.988,1609
F,37,5.2611,4.9835,1612
F,28,5.2628,4.9819,1613
F,47,5.2656,4.9793,1614
F,47,5.2658,4.979,1615
F,23,5.2669,4.978,1616
F,29,5.2683,4.9767,1618
F,23,5.28,4.9657,1620
F,67,5.29,4.9563,1622
F,34,5.2919,4.9545,1623
F,61,5.2925,4.9539,1624
F,22,5.2983,4.9485,1627
F,32,5.3092,4.9384,1629
F,42,5.3117,4.9361,1630
F,38,5.3175,4.9307,1632
F,37,5.32,4.9283,1633
F,36,5.3233,4.9253,1634
F,66,5.3233,4.9253,1635
F,39,5.3233,4.9253,1636
F,43,5.325,4.9237,1639
F,39,5.3272,4.9217,1640
F,35,5.3408,4.9091,1643
F,64,5.3419,4.9081,1644
F,34,5.3425,4.9076,1646
F,47,5.3431,4.9071,1647
F,43,5.3431,4.9071,1648
F,29,5.3433,4.9068,1649
F,29,5.3433,4.9068,1650
F,49,5.3583,4.8931,1652
F,32,5.3739,4.8789,1656
F,45,5.3811,4.8724,1658
F,33,5.3856,4.8683,1660
F,27,5.3858,4.8681,1661
F,42,5.3878,4.8663,1663
F,40,5.3886,4.8656,1664
F,50,5.3917,4.8628,1665
F,59,5.4003,4.8551,1667
F,48,5.4011,4.8543,1668
F,42,5.415,4.8419,1671
F,48,5.42,4.8374,1673
F,25,5.4203,4.8372,1674
F,39,5.425,4.8329,1676
F,35,5.4283,4.83,1677
F,30,5.4311,4.8275,1679
F,52,5.4328,4.826,1680
F,24,5.4358,4.8233,1681
F,31,5.4358,4.8233,1682
F,47,5.4386,4.8209,1684
F,56,5.44,4.8196,1685
F,31,5.4428,4.8172,1686
F,43,5.4444,4.8157,1688
F,29,5.4458,4.8145,1690
F,27,5.4575,4.8042,1694
F,28,5.4589,4.8029,1695
F,28,5.4694,4.7937,1696
F,51,5.4708,4.7925,1698
F,35,5.4722,4.7912,1699
F,52,5.4803,4.7842,1702
F,48,5.4825,4.7823,1704
F,32,5.4842,4.7808,1706
